project,pattern_cls,aff_files_count,sloc_aff_files_percent,threshold
A-T,ID1,117,14.53,1
A-T,ID2,21,9.52,1
A-T,ID4,268,12.69,1
A-T,UD3,7,0.0,1
A-T,UD4,2,0.0,1
A-T,UD5,10,10.0,1
A-T,CD3,7,14.29,1
A-S,ID1,619,5.49,1
A-S,ID2,313,4.47,1
A-S,ID3,15,13.33,1
A-S,ID4,1185,4.22,1
A-S,UD3,46,17.39,1
A-S,UD4,2,0.0,1
A-S,UD5,171,6.43,1
A-S,CD1,15,0.0,1
A-S,CD2,100,1.0,1
A-S,CD3,108,12.04,1
A-S,CD4,466,7.08,1
A-R,ID1,97,9.28,1
A-R,ID2,13,0.0,1
A-R,ID3,1,0.0,1
A-R,ID4,290,7.93,1
A-R,UD3,5,0.0,1
A-R,UD4,2,0.0,1
A-R,UD5,16,6.25,1
A-R,CD1,2,0.0,1
A-R,CD2,14,0.0,1
A-R,CD3,23,21.74,1
A-R,CD4,130,13.08,1
A-Q,ID1,94,9.57,1
A-Q,ID2,10,0.0,1
A-Q,ID3,2,50.0,1
A-Q,ID4,182,12.09,1
A-Q,UD3,3,0.0,1
A-Q,UD4,2,0.0,1
A-Q,UD5,7,0.0,1
A-Q,CD2,11,0.0,1
A-Q,CD3,19,26.32,1
A-Q,CD4,22,9.09,1
C-13,ID1,41,24.39,1
C-13,ID2,9,33.33,1
C-13,ID4,96,15.62,1
C-13,UD3,1,0.0,1
C-13,UD5,4,25.0,1
C-12,ID1,30,16.67,1
C-12,ID2,6,0.0,1
C-12,ID4,65,12.31,1
C-12,UD5,15,13.33,1
C-12,CD1,3,0.0,1
C-12,CD2,4,0.0,1
C-12,CD4,1,100.0,1
C-11,ID1,27,11.11,1
C-11,ID2,2,0.0,1
C-11,ID4,81,16.05,1
C-11,UD5,13,7.69,1
C-11,CD1,3,0.0,1
C-11,CD2,3,0.0,1
C-11,CD4,7,57.14,1
L-20.0,ID1,85,17.65,1
L-20.0,ID2,34,14.71,1
L-20.0,ID4,155,10.97,1
L-20.0,UD3,3,0.0,1
L-20.0,UD5,2,50.0,1
L-19.1,ID1,111,15.32,1
L-19.1,ID2,41,12.2,1
L-19.1,ID3,1,0.0,1
L-19.1,ID4,193,9.84,1
L-19.1,UD1,87,13.79,1
L-19.1,UD3,3,0.0,1
L-19.1,UD4,2,0.0,1
L-19.1,UD5,26,15.38,1
L-19.1,CD1,3,0.0,1
L-19.1,CD2,26,0.0,1
L-19.1,CD3,6,16.67,1
L-19.1,CD4,71,9.86,1
L-18.1,ID1,110,13.64,1
L-18.1,ID2,39,12.82,1
L-18.1,ID3,1,0.0,1
L-18.1,ID4,200,10.0,1
L-18.1,UD1,96,11.46,1
L-18.1,UD3,3,0.0,1
L-18.1,UD4,2,0.0,1
L-18.1,UD5,25,12.0,1
L-18.1,CD1,3,0.0,1
L-18.1,CD2,25,0.0,1
L-18.1,CD3,6,16.67,1
L-18.1,CD4,96,13.54,1
L-17.1,ID1,115,14.78,1
L-17.1,ID2,31,9.68,1
L-17.1,ID3,2,50.0,1
L-17.1,ID4,228,11.84,1
L-17.1,UD3,5,0.0,1
L-17.1,UD4,2,0.0,1
L-17.1,UD5,38,5.26,1
L-17.1,CD2,25,4.0,1
L-17.1,CD3,7,14.29,1
L-17.1,CD4,109,16.51,1
L-16.0,ID1,99,11.11,1
L-16.0,ID2,25,20.0,1
L-16.0,ID3,2,50.0,1
L-16.0,ID4,211,9.48,1
